"","Symbol","logFC","logCPM","LR","PValue","FDR","sgRNA","Gene_Regulation"
"HGLibB_13037","DGCR8",3.59901748068405,5.52626557496242,10.4609403138504,0.00121925199141948,0.00967040994605098,"HGLibB_13037","Enriched in ToxA"
"HGLibB_04597","BMP2",5.52170295378126,3.71533668451347,10.4589997017159,0.00122053352497443,0.00967040994605098,"HGLibB_04597","Enriched in ToxA"
"HGLibA_19243","GLG1",4.43827492271925,4.79339623261822,10.4576394347156,0.0012214326250725,0.00967040994605098,"HGLibA_19243","Enriched in ToxA"
"HGLibA_09473","CHMP1A",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibA_09473","Depleted in ToxA"
"HGLibA_10727","COPS7A",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibA_10727","Depleted in ToxA"
"HGLibA_11634","CTLA4",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibA_11634","Depleted in ToxA"
"HGLibA_17374","FGF14",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibA_17374","Depleted in ToxA"
"HGLibA_23920","JAK3",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibA_23920","Depleted in ToxA"
"HGLibA_33437","OPN4",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibA_33437","Depleted in ToxA"
"HGLibA_34880","P2RY13",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibA_34880","Depleted in ToxA"
"HGLibA_36173","PFN1",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibA_36173","Depleted in ToxA"
"HGLibA_39989","RAB8B",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibA_39989","Depleted in ToxA"
"HGLibA_42707","SAMM50",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibA_42707","Depleted in ToxA"
"HGLibA_42965","SCML4",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibA_42965","Depleted in ToxA"
"HGLibA_47159","SSR3",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibA_47159","Depleted in ToxA"
"HGLibA_47474","STK25",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibA_47474","Depleted in ToxA"
"HGLibA_49331","THBS4",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibA_49331","Depleted in ToxA"
"HGLibA_49832","TMEFF1",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibA_49832","Depleted in ToxA"
"HGLibA_51231","TRABD2A",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibA_51231","Depleted in ToxA"
"HGLibA_52209","TTLL6",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibA_52209","Depleted in ToxA"
"HGLibA_53649","VIL1",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibA_53649","Depleted in ToxA"
"HGLibB_02981","ARL6",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibB_02981","Depleted in ToxA"
"HGLibB_05174","C11orf71",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibB_05174","Depleted in ToxA"
"HGLibB_19671","GP1BA",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibB_19671","Depleted in ToxA"
"HGLibB_22224","HSP90AB1",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibB_22224","Depleted in ToxA"
"HGLibB_33306","OLFM3",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibB_33306","Depleted in ToxA"
"HGLibB_34234","OR5D16",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibB_34234","Depleted in ToxA"
"HGLibB_34910","PACS2",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibB_34910","Depleted in ToxA"
"HGLibB_39593","PWWP2B",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibB_39593","Depleted in ToxA"
"HGLibB_49904","TMEM141",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibB_49904","Depleted in ToxA"
"HGLibB_50287","TMEM26",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibB_50287","Depleted in ToxA"
"HGLibB_52622","UBE3D",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibB_52622","Depleted in ToxA"
"HGLibB_53979","WDR20",-5.91195900454978,3.69926679917296,10.4562365122391,0.00122236062139278,0.00967040994605098,"HGLibB_53979","Depleted in ToxA"
"HGLibA_34131","OR51S1",2.99545494305052,6.23115828055103,10.4557972538644,0.00122265132589758,0.00967040994605098,"HGLibA_34131","Enriched in ToxA"
